ef,Time,Recall
10,2,0.36
30,7,0.482
50,11,0.625
70,15,0.666
90,21,0.71
110,25,0.755
130,30,0.764
150,34,0.776
170,39,0.836
190,43,0.841
210,46,0.847
230,51,0.878
250,54,0.883
270,60,0.883
290,65,0.884
10,2,0.227
30,7,0.39
50,12,0.484
70,16,0.555
90,21,0.685
110,25,0.745
130,30,0.768
150,35,0.839
170,40,0.887
190,44,0.92
210,48,0.943
230,52,0.953
250,56,0.966
270,60,0.975
290,66,0.977
10,2,0.38
30,6,0.518
50,11,0.595
70,16,0.706
90,21,0.77
110,25,0.796
130,30,0.803
150,35,0.815
170,40,0.837
190,44,0.84
210,48,0.842
230,52,0.845
250,55,0.853
270,60,0.857
290,65,0.869
10,2,0.265
30,7,0.479
50,13,0.691
70,17,0.737
90,22,0.781
110,26,0.799
130,30,0.814
150,35,0.816
170,40,0.819
190,44,0.821
210,49,0.822
230,52,0.828
250,55,0.835
270,61,0.839
290,66,0.843
10,2,0.373
30,6,0.504
50,11,0.582
70,15,0.686
90,21,0.759
110,25,0.822
130,30,0.844
150,35,0.875
170,41,0.891
190,45,0.899
210,49,0.906
230,53,0.908
250,57,0.909
270,61,0.91
290,66,0.915
10,3,0.366
30,7,0.442
50,12,0.503
70,17,0.597
90,21,0.65
110,26,0.695
130,30,0.747
150,35,0.778
170,40,0.787
190,45,0.795
210,48,0.801
230,53,0.813
250,56,0.818
270,62,0.818
290,67,0.818
10,2,0.363
30,7,0.557
50,12,0.686
70,16,0.729
90,21,0.759
110,25,0.786
130,30,0.802
150,35,0.821
170,40,0.855
190,44,0.868
210,49,0.876
230,53,0.907
250,58,0.931
270,63,0.953
290,67,0.97
10,2,0.282
30,8,0.48
50,13,0.552
70,18,0.634
90,23,0.668
110,27,0.728
130,32,0.746
150,37,0.765
170,42,0.792
190,46,0.862
210,51,0.877
230,54,0.878
250,59,0.878
270,63,0.878
290,68,0.885
10,2,0.273
30,7,0.464
50,13,0.653
70,17,0.708
90,22,0.718
110,26,0.763
130,30,0.812
150,36,0.834
170,40,0.851
190,45,0.873
210,49,0.876
230,52,0.882
250,57,0.887
270,62,0.889
290,66,0.898
10,2,0.385
30,7,0.629
50,12,0.743
70,16,0.803
90,21,0.841
110,24,0.848
130,28,0.856
150,34,0.873
170,38,0.881
190,43,0.885
210,46,0.889
230,51,0.893
250,54,0.9
270,60,0.905
290,65,0.908
