ef,Time,Recall
10,2,0.368
30,6,0.6
50,11,0.735
70,16,0.814
90,20,0.867
110,25,0.883
130,29,0.888
150,34,0.91
170,39,0.913
190,43,0.913
210,47,0.964
230,51,0.964
250,54,0.964
270,59,0.964
290,63,0.976
10,2,0.334
30,7,0.585
50,12,0.713
70,17,0.809
90,22,0.843
110,26,0.875
130,31,0.894
150,36,0.905
170,40,0.908
190,45,0.91
210,48,0.938
230,52,0.956
250,58,0.96
270,64,0.961
290,67,0.961
10,3,0.275
30,8,0.53
50,13,0.65
70,18,0.777
90,23,0.846
110,27,0.924
130,32,0.941
150,37,0.953
170,42,0.961
190,46,0.966
210,50,0.966
230,53,0.967
250,57,0.967
270,62,0.967
290,67,0.977
10,3,0.333
30,7,0.435
50,12,0.516
70,17,0.6
90,22,0.654
110,27,0.716
130,31,0.762
150,36,0.795
170,41,0.814
190,46,0.824
210,50,0.832
230,53,0.836
250,57,0.846
270,62,0.849
290,67,0.853
10,2,0.387
30,6,0.625
50,10,0.681
70,15,0.709
90,20,0.746
110,24,0.788
130,29,0.829
150,34,0.861
170,39,0.892
190,43,0.922
210,47,0.93
230,51,0.93
250,55,0.93
270,59,0.93
290,64,0.93
10,3,0.355
30,7,0.496
50,12,0.587
70,17,0.678
90,22,0.7
110,25,0.714
130,30,0.735
150,34,0.756
170,39,0.771
190,44,0.805
210,48,0.831
230,51,0.857
250,55,0.89
270,60,0.896
290,65,0.896
10,2,0.326
30,7,0.574
50,11,0.676
70,16,0.745
90,20,0.789
110,25,0.848
130,29,0.868
150,34,0.879
170,39,0.89
190,43,0.902
210,47,0.905
230,51,0.908
250,55,0.909
270,60,0.917
290,65,0.92
10,3,0.337
30,7,0.584
50,11,0.679
70,16,0.751
90,21,0.761
110,25,0.771
130,30,0.774
150,35,0.78
170,39,0.781
190,43,0.788
210,48,0.801
230,51,0.817
250,55,0.849
270,60,0.863
290,65,0.877
10,2,0.409
30,7,0.622
50,11,0.64
70,16,0.645
90,21,0.647
110,25,0.661
130,29,0.665
150,35,0.687
170,40,0.706
190,44,0.736
210,48,0.763
230,53,0.799
250,55,0.806
270,60,0.815
290,65,0.818
10,2,0.4
30,7,0.536
50,11,0.581
70,16,0.633
90,21,0.661
110,25,0.7
130,29,0.732
150,35,0.751
170,40,0.76
190,44,0.763
210,48,0.78
230,51,0.789
250,55,0.813
270,59,0.823
290,65,0.851
