ef,Time,Recall
10,2,0.185
30,8,0.325
50,12,0.424
70,17,0.515
90,22,0.577
110,26,0.628
130,29,0.673
150,36,0.708
170,39,0.735
190,45,0.765
210,48,0.79
230,51,0.814
250,54,0.828
270,60,0.845
290,65,0.856
10,2,0.251
30,7,0.402
50,13,0.493
70,17,0.575
90,22,0.638
110,27,0.683
130,32,0.709
150,36,0.744
170,42,0.781
190,46,0.803
210,49,0.819
230,53,0.834
250,56,0.851
270,61,0.868
290,67,0.876
10,2,0.182
30,8,0.321
50,13,0.443
70,17,0.498
90,22,0.532
110,27,0.58
130,31,0.627
150,37,0.664
170,42,0.699
190,46,0.726
210,51,0.752
230,55,0.77
250,59,0.79
270,64,0.798
290,67,0.808
10,2,0.15
30,7,0.301
50,12,0.406
70,16,0.466
90,21,0.515
110,26,0.561
130,31,0.599
150,36,0.638
170,41,0.673
190,45,0.699
210,49,0.728
230,53,0.748
250,58,0.768
270,61,0.785
290,66,0.795
10,2,0.248
30,7,0.397
50,12,0.473
70,17,0.537
90,22,0.579
110,26,0.625
130,31,0.67
150,36,0.701
170,41,0.725
190,45,0.739
210,50,0.753
230,54,0.764
250,58,0.781
270,63,0.791
290,68,0.806
10,3,0.182
30,8,0.309
50,14,0.389
70,18,0.461
90,23,0.512
110,28,0.573
130,32,0.605
150,38,0.63
170,43,0.668
190,46,0.697
210,51,0.724
230,55,0.74
250,58,0.758
270,63,0.77
290,70,0.788
10,3,0.183
30,8,0.337
50,13,0.452
70,18,0.507
90,22,0.569
110,27,0.612
130,31,0.632
150,37,0.657
170,41,0.684
190,46,0.697
210,50,0.712
230,54,0.725
250,58,0.749
270,63,0.759
290,68,0.778
10,2,0.24
30,7,0.392
50,12,0.495
70,16,0.567
90,21,0.621
110,25,0.659
130,31,0.692
150,34,0.726
170,39,0.743
190,43,0.763
210,48,0.779
230,52,0.799
250,55,0.813
270,59,0.822
290,63,0.838
10,2,0.16
30,7,0.284
50,12,0.347
70,17,0.388
90,22,0.44
110,26,0.472
130,29,0.501
150,35,0.526
170,39,0.549
190,46,0.572
210,51,0.59
230,54,0.607
250,59,0.618
270,63,0.63
290,69,0.642
10,2,0.202
30,7,0.332
50,12,0.423
70,17,0.496
90,22,0.541
110,26,0.613
130,30,0.66
150,36,0.703
170,39,0.728
190,44,0.756
210,48,0.782
230,51,0.797
250,56,0.818
270,59,0.833
290,64,0.849
