ef,Time,Recall
10,1,0.022
20,2,0.025
30,3,0.029
40,5,0.037
50,6,0.058
60,7,0.13
70,9,0.132
80,10,0.138
90,12,0.145
100,13,0.171
110,14,0.23
120,16,0.232
130,17,0.232
140,20,0.235
150,21,0.239
160,23,0.24
170,24,0.243
180,26,0.244
190,27,0.339
200,28,0.404
210,31,0.492
220,31,0.502
230,33,0.51
240,35,0.543
250,38,0.589
260,40,0.605
270,42,0.607
280,45,0.609
290,47,0.609
300,49,0.61
310,50,0.611
320,52,0.611
10,1,0.011
20,2,0.026
30,3,0.032
40,5,0.084
50,6,0.222
60,7,0.224
70,9,0.24
80,12,0.352
90,13,0.429
100,14,0.515
110,15,0.529
120,16,0.581
130,18,0.645
140,20,0.706
150,21,0.711
160,23,0.718
170,24,0.747
180,25,0.802
190,27,0.802
200,28,0.803
210,30,0.803
220,31,0.804
230,33,0.805
240,34,0.805
250,37,0.805
260,38,0.805
270,40,0.805
280,41,0.806
290,44,0.806
300,44,0.807
310,46,0.809
320,48,0.81
10,1,0.024
20,2,0.214
30,3,0.222
40,4,0.319
50,7,0.524
60,8,0.527
70,10,0.534
80,11,0.556
90,12,0.564
100,13,0.564
110,15,0.564
120,17,0.564
130,19,0.638
140,21,0.643
150,22,0.654
160,24,0.654
170,26,0.655
180,27,0.655
190,28,0.657
200,30,0.747
210,32,0.748
220,33,0.786
230,34,0.835
240,38,0.84
250,37,0.843
260,39,0.844
270,42,0.845
280,43,0.847
290,44,0.847
300,48,0.847
310,50,0.847
320,50,0.848
10,1,0.015
20,2,0.063
30,4,0.075
40,6,0.139
50,7,0.184
60,8,0.203
70,10,0.239
80,11,0.239
90,13,0.24
100,15,0.241
110,16,0.255
120,17,0.309
130,19,0.321
140,21,0.335
150,24,0.365
160,25,0.371
170,26,0.377
180,29,0.431
190,29,0.432
200,31,0.432
210,33,0.433
220,34,0.434
230,36,0.434
240,36,0.488
250,38,0.509
260,41,0.513
270,43,0.55
280,45,0.577
290,47,0.585
300,48,0.6
310,50,0.689
320,52,0.703
10,1,0.214
20,2,0.264
30,3,0.318
40,5,0.341
50,6,0.412
60,8,0.421
70,9,0.424
80,11,0.439
90,14,0.591
100,16,0.706
110,17,0.717
120,18,0.718
130,20,0.719
140,22,0.719
150,24,0.72
160,26,0.721
170,28,0.721
180,30,0.721
190,32,0.721
200,32,0.721
210,32,0.721
220,34,0.721
230,35,0.721
240,36,0.721
250,38,0.721
260,41,0.721
270,42,0.721
280,43,0.721
290,45,0.722
300,47,0.722
310,48,0.722
320,51,0.722
10,1,0.015
20,3,0.018
30,4,0.021
40,6,0.022
50,7,0.023
60,8,0.027
70,10,0.114
80,12,0.118
90,14,0.121
100,14,0.126
110,16,0.131
120,17,0.136
130,19,0.221
140,21,0.237
150,23,0.275
160,24,0.497
170,26,0.514
180,27,0.515
190,29,0.515
200,31,0.515
210,33,0.515
220,34,0.515
230,36,0.515
240,37,0.516
250,38,0.516
260,40,0.516
270,42,0.516
280,43,0.516
290,46,0.516
300,48,0.516
310,50,0.516
320,52,0.516
10,1,0.036
20,2,0.049
30,3,0.135
40,4,0.185
50,7,0.334
60,8,0.421
70,10,0.51
80,11,0.511
90,13,0.586
100,14,0.604
110,16,0.697
120,16,0.7
130,19,0.703
140,20,0.749
150,23,0.785
160,24,0.793
170,25,0.8
180,26,0.804
190,28,0.804
200,29,0.804
210,31,0.822
220,32,0.885
230,33,0.889
240,35,0.954
250,37,0.963
260,38,0.978
270,40,0.979
280,42,0.984
290,44,0.987
300,46,0.991
310,47,0.993
320,49,0.994
10,2,0.096
20,4,0.209
30,5,0.29
40,7,0.291
50,8,0.294
60,10,0.295
70,12,0.298
80,13,0.299
90,16,0.3
100,17,0.301
110,19,0.317
120,20,0.32
130,23,0.323
140,24,0.325
150,26,0.326
160,28,0.327
170,29,0.329
180,30,0.345
190,31,0.376
200,33,0.423
210,34,0.425
220,36,0.429
230,38,0.447
240,39,0.613
250,40,0.613
260,45,0.613
270,44,0.613
280,45,0.613
290,49,0.613
300,49,0.613
310,50,0.613
320,52,0.613
10,1,0.106
20,3,0.109
30,4,0.211
40,5,0.218
50,6,0.222
60,8,0.312
70,9,0.317
80,10,0.32
90,12,0.321
100,14,0.323
110,16,0.415
120,17,0.419
130,18,0.42
140,21,0.512
150,22,0.513
160,24,0.513
170,26,0.514
180,28,0.517
190,28,0.518
200,30,0.518
210,32,0.518
220,33,0.518
230,34,0.518
240,36,0.571
250,36,0.589
260,39,0.669
270,40,0.675
280,42,0.682
290,44,0.688
300,46,0.691
310,49,0.692
320,51,0.694
10,2,0.114
20,4,0.131
30,4,0.137
40,6,0.227
50,7,0.236
60,8,0.24
70,10,0.24
80,12,0.242
90,13,0.257
100,14,0.343
110,15,0.356
120,16,0.368
130,19,0.381
140,21,0.433
150,22,0.597
160,24,0.607
170,25,0.612
180,27,0.613
190,28,0.614
200,31,0.615
210,32,0.615
220,34,0.616
230,35,0.617
240,37,0.617
250,38,0.617
260,41,0.617
270,42,0.617
280,44,0.617
290,45,0.617
300,47,0.617
310,49,0.617
320,51,0.618
