ef,Time,Recall
10,4,0.134
30,8,0.284
50,12,0.382
70,17,0.452
90,21,0.516
110,26,0.563
130,30,0.611
150,35,0.64
170,38,0.668
190,43,0.698
210,47,0.723
230,52,0.749
250,54,0.766
270,61,0.782
290,63,0.803
10,3,0.143
30,8,0.334
50,12,0.477
70,16,0.566
90,21,0.637
110,26,0.695
130,29,0.743
150,35,0.775
170,39,0.805
190,44,0.82
210,49,0.833
230,50,0.843
250,55,0.856
270,60,0.867
290,63,0.872
10,3,0.154
30,7,0.305
50,12,0.393
70,16,0.483
90,21,0.547
110,26,0.609
130,30,0.655
150,36,0.688
170,39,0.715
190,44,0.749
210,50,0.774
230,53,0.802
250,55,0.823
270,63,0.842
290,65,0.857
10,3,0.11
30,8,0.248
50,12,0.353
70,17,0.433
90,22,0.479
110,27,0.534
130,30,0.573
150,36,0.6
170,40,0.619
190,44,0.643
210,49,0.669
230,53,0.691
250,55,0.701
270,61,0.711
290,65,0.722
10,3,0.179
30,7,0.334
50,12,0.452
70,17,0.527
90,22,0.585
110,26,0.625
130,31,0.663
150,35,0.697
170,40,0.725
190,43,0.743
210,49,0.762
230,53,0.777
250,55,0.795
270,61,0.811
290,67,0.821
10,3,0.098
30,8,0.233
50,13,0.306
70,18,0.365
90,22,0.42
110,27,0.451
130,31,0.486
150,37,0.516
170,41,0.541
190,46,0.57
210,50,0.594
230,54,0.606
250,58,0.613
270,63,0.631
290,69,0.643
10,3,0.162
30,8,0.333
50,13,0.449
70,17,0.52
90,22,0.594
110,27,0.648
130,31,0.697
150,35,0.744
170,41,0.772
190,46,0.804
210,50,0.821
230,54,0.832
250,58,0.848
270,63,0.864
290,68,0.877
10,4,0.15
30,8,0.299
50,13,0.391
70,18,0.454
90,23,0.515
110,27,0.558
130,32,0.595
150,36,0.619
170,42,0.644
190,46,0.67
210,50,0.69
230,54,0.71
250,57,0.727
270,63,0.747
290,67,0.762
10,3,0.118
30,7,0.234
50,12,0.321
70,17,0.398
90,22,0.451
110,26,0.507
130,30,0.554
150,36,0.595
170,40,0.631
190,45,0.66
210,48,0.685
230,51,0.707
250,56,0.732
270,60,0.759
290,66,0.779
10,4,0.134
30,9,0.274
50,14,0.376
70,18,0.417
90,23,0.47
110,27,0.527
130,32,0.553
150,37,0.584
170,42,0.604
190,44,0.63
210,50,0.651
230,54,0.671
250,56,0.684
270,62,0.702
290,68,0.72
