ef,Time,Recall
10,1,0.113
20,3,0.126
30,5,0.13
40,7,0.17
50,7,0.189
60,9,0.193
70,10,0.26
80,11,0.314
90,13,0.349
100,14,0.358
110,15,0.445
120,17,0.482
130,18,0.534
140,20,0.535
150,21,0.535
160,23,0.535
170,24,0.535
180,26,0.535
190,28,0.535
200,29,0.536
210,32,0.539
220,31,0.544
230,33,0.572
240,34,0.675
250,35,0.725
260,39,0.725
270,39,0.725
280,41,0.725
290,44,0.725
300,44,0.725
310,45,0.725
320,47,0.725
10,2,0.197
20,3,0.22
30,5,0.239
40,6,0.33
50,8,0.423
60,9,0.426
70,11,0.43
80,12,0.433
90,13,0.434
100,16,0.516
110,17,0.546
120,18,0.618
130,19,0.624
140,20,0.624
150,22,0.624
160,23,0.625
170,25,0.625
180,26,0.625
190,29,0.714
200,30,0.714
210,31,0.715
220,32,0.715
230,34,0.733
240,36,0.802
250,36,0.806
260,41,0.807
270,44,0.807
280,44,0.807
290,44,0.807
300,46,0.807
310,48,0.807
320,53,0.807
10,2,0.064
20,4,0.08
30,5,0.09
40,6,0.267
50,7,0.268
60,9,0.282
70,10,0.294
80,12,0.372
90,13,0.376
100,14,0.377
110,16,0.387
120,17,0.497
130,19,0.549
140,21,0.559
150,23,0.566
160,25,0.569
170,26,0.57
180,27,0.572
190,29,0.576
200,32,0.586
210,35,0.593
220,34,0.614
230,37,0.666
240,37,0.666
250,38,0.666
260,40,0.666
270,42,0.666
280,44,0.666
290,47,0.666
300,47,0.667
310,48,0.667
320,50,0.667
10,1,0.016
20,2,0.023
30,4,0.212
40,5,0.214
50,6,0.217
60,7,0.217
70,8,0.218
80,10,0.276
90,11,0.297
100,14,0.298
110,15,0.307
120,16,0.315
130,18,0.322
140,22,0.446
150,22,0.523
160,23,0.527
170,25,0.55
180,27,0.554
190,28,0.584
200,29,0.627
210,31,0.627
220,32,0.628
230,33,0.628
240,34,0.629
250,36,0.629
260,38,0.629
270,41,0.629
280,43,0.629
290,45,0.629
300,46,0.634
310,48,0.72
320,49,0.721
10,2,0.118
20,3,0.5
30,4,0.502
40,5,0.515
50,6,0.518
60,8,0.611
70,9,0.612
80,10,0.614
90,12,0.632
100,13,0.709
110,14,0.713
120,16,0.714
130,19,0.714
140,18,0.715
150,20,0.715
160,21,0.716
170,23,0.717
180,25,0.717
190,26,0.717
200,27,0.718
210,29,0.718
220,30,0.789
230,32,0.813
240,35,0.813
250,35,0.813
260,37,0.813
270,38,0.813
280,40,0.813
290,41,0.813
300,43,0.813
310,46,0.813
320,46,0.813
10,2,0.113
20,4,0.116
30,5,0.121
40,7,0.121
50,8,0.124
60,9,0.126
70,10,0.128
80,13,0.13
90,15,0.133
100,16,0.149
110,16,0.307
120,17,0.319
130,21,0.32
140,22,0.321
150,25,0.322
160,24,0.324
170,29,0.512
180,29,0.512
190,30,0.514
200,32,0.515
210,31,0.515
220,33,0.516
230,34,0.518
240,35,0.519
250,36,0.521
260,38,0.522
270,40,0.524
280,42,0.527
290,44,0.53
300,46,0.538
310,48,0.546
320,50,0.627
10,2,0.193
20,3,0.202
30,4,0.491
40,5,0.513
50,6,0.518
60,8,0.52
70,9,0.589
80,11,0.611
90,12,0.613
100,14,0.613
110,15,0.616
120,17,0.619
130,17,0.621
140,20,0.621
150,21,0.623
160,24,0.636
170,23,0.677
180,24,0.713
190,26,0.713
200,27,0.713
210,29,0.713
220,33,0.715
230,33,0.716
240,32,0.718
250,37,0.719
260,35,0.721
270,39,0.722
280,39,0.723
290,43,0.723
300,43,0.767
310,45,0.802
320,47,0.806
10,2,0.111
20,3,0.212
30,4,0.317
40,5,0.326
50,6,0.374
60,8,0.419
70,9,0.42
80,11,0.42
90,12,0.421
100,13,0.421
110,15,0.421
120,16,0.502
130,17,0.505
140,20,0.508
150,21,0.513
160,22,0.521
170,24,0.604
180,26,0.652
190,30,0.653
200,29,0.687
210,30,0.699
220,31,0.703
230,32,0.706
240,34,0.708
250,35,0.709
260,37,0.709
270,40,0.709
280,41,0.709
290,42,0.709
300,44,0.709
310,47,0.71
320,48,0.71
10,2,0.026
20,3,0.116
30,4,0.118
40,6,0.133
50,7,0.172
60,8,0.221
70,9,0.269
80,11,0.317
90,13,0.356
100,14,0.357
110,15,0.374
120,17,0.375
130,19,0.375
140,21,0.377
150,22,0.378
160,24,0.378
170,26,0.417
180,27,0.418
190,28,0.42
200,30,0.42
210,31,0.425
220,33,0.428
230,34,0.429
240,36,0.463
250,37,0.517
260,39,0.517
270,41,0.518
280,43,0.518
290,45,0.518
300,47,0.518
310,49,0.519
320,51,0.519
10,2,0.018
20,3,0.025
30,5,0.031
40,6,0.033
50,7,0.038
60,9,0.049
70,10,0.137
80,12,0.139
90,13,0.139
100,14,0.142
110,16,0.228
120,17,0.238
130,19,0.313
140,20,0.334
150,22,0.358
160,23,0.443
170,25,0.58
180,26,0.598
190,28,0.602
200,29,0.606
210,31,0.608
220,32,0.608
230,34,0.61
240,35,0.612
250,36,0.613
260,38,0.705
270,40,0.71
280,41,0.711
290,43,0.712
300,45,0.713
310,47,0.713
320,48,0.713
